ADNA ,BDNA,ZDNA,TriplexDNA,QuadraplexDNA,OtherdsDNA
6ROR,7KCI,6A1O,6ZTE,6ZL2,6UDN
6ROS,6RSO,6A1Q,6QHI,6ZL9,6UEF
6ROU,6M5B,6BST,2MKM,7CV3,6UAL
6S7D,6R6D,6AQT,2MKO,7CV4,6U40
6GN2,6R14,6AQV,1W86,7CLS,6WK7
6GN3,6QJR,6AQW,1PNN,6YCV,6M4T
5ZAS,6QJS,6AQX,177D,6YEP,6M5J
6DWT,6HWG,5VY7,134D,6SYK,6RSP
6DXJ,6IYQ,5JZQ,135D,6SX6,6IUE
6DY5,6FY6,5IHD,136D,6KFI,6JR4
6DY9,6FY7,4XSN,149D,6KFL,6J0I
5XK0,6RLS,4XQZ,,6PNK,6DVT
5XK1,6ED9,4R15,,6KFJ,6DXM
5WV7,6JV3,3WBO,,6M2P,6NIZ
5MVK,6JV5,4OCB,,6TQI,6DKL
5MVL,6QT1,4HIG,,6S15,6GPI
5MVP,6QT2,4HIF,,6P45,6GN4
5MVQ,6QT3,4FS5,,6JWD,5XJW
5MVT,6QT4,4FS6,,6N65,5NBE
5MVU,6QT5,4E60,,6WCK,5ODF
5IYE,6QT6,4E2R,,6TC8,5OCZ
5IYG,6GLD,4E4O,,6TCG,5XJZ
5IYJ,6DM7,4DWY,,6KN4,5EOS
5WSP,6I4N,4DY8,,6V0L,5VY6
5WSS,6I4O,3ULM,,6KVB,5IX7
5JVW,6RIO,3ULN,,6JJE,5XEW
5JW0,6F3C,3ULO,,6JJF,5M1W
5JW2,6G8S,3UM4,,6JJG,5GSK
5AXE,6ADV,4DKZ,,6JWE,5WSQ
5AXF,6IJW,3TCI,,6IMS,5WSR
5B81,6IJV,3P4J,,6SUU,5I36
5FHL,5ZAT,1VTT,,6T2G,5I6T
4YS5,6GZ7,1VTU,,6K3X,5GWL
4RE7,6GIM,1VTV,,6K3Y,5GWQ
4RHD,5W6W,1VTW,,6TR2,5DEV
4QKK,6CQ3,1VTY,,6L8M,4ZYM
4MS5,5ZLD,3QBA,,6L92,5CV2
4OKL,6ASF,3QBA,,6SX3,5E36
4IZQ,6AST,3QBA,,6RS3,4ZKK
4HQH,5ODM,3QBA,,6JJ0,4RO4
4E95,5OE1,3GCY,,6T51,4RO8
4I1G,5M68,3GDA,,6O2L,4ROG
3SD8,5NT5,3G2A,,6TZQ,4ROY
4F8G,5XUV,3G2R,,6TZR,4XNO
4F8I,6ALT,3FQ5,,6TZS,4RIM
4E7Y,6ALS,3FQB,,6JCD,4RIP
3UKB,6ALU,3F8O,,6RNL,4LTF
3UKC,5GUN,3E9W,,6JCE,4LTG
3UKE,5W1Z,2ELG,,6QJO,4LTH
4F4N,5T4W,2OBZ,,6R9K,4LTI
4F2Y,5W20,2IE1,,6R9L,4LTJ
3V9D,5VBJ,2H0N,,6IP3,4LTK
3V06,5TRN,2HTO,,6IP7,4LTL
3V07,5IU5,2HTT,,6ISW,4LY2
3Q61,5LIT,2F8W,,6GZ6,4M3I
1VT5,5UZ1,1WOE,,6FC9,4MJ9
1VT6,5UZ3,1VRO,,6JKN,4L5K
1VT7,5KTV,1V9G,,6A85,2MIV
1VT8,5LJ4,1XA2,,6AC7,2MIW
1VT9,5IWJ,1XAM,,6NEB,4GQJ
1VTA,5UZD,1OMK,,6H5R,4L25
1VTB,5UZF,1R4D,,6IA0,4L26
1VTC,5UZI,1M6R,,6IA4,4GQD
3QK4,5IP8,1LJX,,6GH0,4GRE
3OZ3,5UZ2,1JES,,6A7Y,4GS2
3OZ4,5I4S,1ICK,,6FQ2,4GSG
3OZ5,5LFS,1I0T,,6N4G,4GSI
3KQ8,5LFW,1DJ6,,6MC2,2M8Z
3K18,5LFX,417D,,6MC3,2M90
3IKI,5I6Q,400D,,6MC4,2M91
3LTR,5L06,390D,,5W77,2M92
3LTU,5L2G,391D,,6H1K,2M93
3HR3,5T3L,392D,,5YEY,4JD8
3IJK,5ET2,336D,,6GZN,2LZK
3IJN,5J3F,362D,,5Z80,2LSX
3HGD,5J3I,351D,,5Z8F,4EZ2
3IFF,5JU4,331D,,6AU4,2L5K
3IFI,5DSA,312D,,5OPH,1VTF
3HG8,5DSB,314D,,6CCW,1VTH
3EY2,5HQF,313D,,5LQG,1VTI
3FA1,5HQQ,292D,,5O4D,3PA0
3BM0,5JEU,293D,,6ERL,3HS1
2PLO,5JEV,239D,,6F4Z,3HQE
2RMQ,2N5O,242D,,5ZEV,3HCL
2O7W,2N5P,279D,,6FTU,3GDD
2PKV,2N9F,210D,,5NYS,2K4G
2PL4,2N9H,211D,,5NYT,2QS6
2PL8,2RVP,223D,,5NYU,2O7X
2PLB,5KI4,180D,,5MTA,2O7Y
2NSK,5KI5,181D,,5MTG,2O7Z
2HC7,5IZP,192D,,5LQH,2O80
2FIJ,5IV1,133D,,5LS8,2O82
2FIL,5CJY,145D,,5UA3,2DZ7
2GPX,2N4M,131D,,5OV2,2OEY
2DLJ,5F9I,1DA1,,5NIP,2FZA
2H05,5FHJ,1DA2,,5J4P,2H9S
2AXB,5J3G,1D53,,5M1L,1U01
2B1B,2N96,,,5M2L,1XRW
2B1C,5ET9,1D76,,5M4W,1XJ9
2A7E,5EWB,1D39,,5MVB,1R2L
1Y7F,5EYQ,1D48,,5J6U,1X6W
1WV5,5EZF,1D40,,5MBR,1S1L
1WV6,5F26,1D41,,5MCR,1P1Y
1Y84,5J0E,1D24,,5J4W,1RSB
1Y86,4Z4B,1DNF,,5J05,1T4I
1Y9F,4YMC,,,5MJX,1PIB
1Y9S,5DAM,1D16,,5HIX,1SNH
1Y8L,4R8J,2DCG,,2N6C,1R4E
1Y8V,4R6M,1DCG,,5LIG,1UB8
1YB9,2N0Q,1DN8,,2N89,1UE4
1YBC,4RNK,1DN4,,5CDB,1UHX
1ZEX,4RO7,1DN5,,2N3M,1UHY
1ZEY,4ROK,1ZNA,,2N4Y,1UE2
1ZF1,4RON,,,2N60,1UE3
1ZF6,4ROO,,,5CCW,1RRU
1ZF8,4ROZ,,,5I2V,1R41
1ZF9,4RP0,,,2N9Q,1N4B
1ZFA,4RP1,,,5DWW,1NR8
1ZJE,4RP2,,,5DWX,1PUY
1ZJF,4QIO,,,2MWZ,1P96
1ZJG,4X18,,,2N2D,1OCI
1Z7I,4X1A,,,4U5M,1M6G
1XJX,4U9M,,,2MS9,452D
1XJY,4MNB,,,2MAY,1L4J
1XUW,2MMF,,,2MS6,1LUH
1XUX,2MMQ,,,2MJJ,1NOQ
1PWF,2MMR,,,2MB2,1NP5
1VAQ,2MMS,,,4U92,1K2L
1R3Z,4PWM,,,4R44,1L6B
1R3G,4QC7,,,4R45,1D7Z
1NZG,4U8A,,,4R47,481D
1M77,4U8B,,,2MFU,1JUC
1MA8,4U8C,,,4WO3,1HZS
1MLX,4KWX,,,2MFT,1QPY
1KGK,4R48,,,4WO2,1EG6
1IH2,4R49,,,2M6W,1DL8
1IH3,4R4A,,,2M6V,1F6I
1IH4,4R4D,,,2MB4,1F6J
1IH6,2MNX,,,2LYG,1QKG
1I0F,2MNB,,,2MGN,467D
1I0G,4M3V,,,2MCO,1DCW
1I0J,2MO2,,,2MCC,1C9Z
1I0K,2MO7,,,2M27,1DC0
1I0M,2MND,,,2MBJ,454D
1I0N,2MNE,,,2M53,1CR3
1I0O,2MNF,,,2MB3,427D
1I0P,2MH6,,,4H29,473D
1I0Q,4O5W,,,2M8Z,376D
1I5W,4O5X,,,2M90,1C95
1G00,4O5Y,,,2M91,482D
1F6E,4O5Z,,,2M92,1QDA
1DNZ,4OCD,,,2M93,1CYZ
1DPL,2MHX,,,2M4P,1B3P
382D,2MHZ,,,2M1G,465D
414D,2MAV,,,4DA3,459D
1QPH,2MG8,,,4DAQ,1A2E
